,first_group,second_group
0,1.0,1.118964553576058e-241
1,1.0,5.510678511997085e-240
2,1.0,2.713901159130703e-238
3,1.0,1.3365437591556107e-236
4,1.0,6.582222258551586e-235
5,1.0,3.2416200338101165e-233
6,1.0,1.596437338954537e-231
7,1.0,7.862159502515831e-230
8,1.0,3.8719703911607436e-228
9,1.0,1.9068758070700415e-226
10,1.0,9.391024934556017e-225
11,1.0,4.6249152841041555e-223
12,1.0,2.2776908324762664e-221
13,1.0,1.1217238883207736e-219
14,1.0,5.524301419340144e-218
15,1.0,2.72062677320799e-216
16,1.0,1.339864162339907e-214
17,1.0,6.598614805932731e-213
18,1.0,3.249712834250773e-211
19,1.0,1.600432625959502e-209
20,1.0,7.881883453368016e-208
21,1.0,3.881707648058309e-206
22,1.0,1.9116828294245647e-204
23,1.0,9.414755739099833e-203
24,1.0,4.6366303732959676e-201
25,1.0,2.2834741303639135e-199
26,1.0,1.1245788636613267e-197
27,1.0,5.538395151223359e-196
28,1.0,2.7275841656899967e-194
29,1.0,1.3432986650671428e-192
30,1.0,6.615569037107156e-191
31,1.0,3.258082135833441e-189
32,1.0,1.6045640257781323e-187
33,1.0,7.902277440216045e-186
34,1.0,3.8917747380999723e-184
35,1.0,1.9166522149361383e-182
36,1.0,9.439285784559299e-181
37,1.0,4.648738890206642e-179
38,1.0,2.289451092395388e-177
39,1.0,1.1275291692015669e-175
40,1.0,5.552958137985894e-174
41,1.0,2.734772543342867e-172
42,1.0,1.3468468667314667e-170
43,1.0,6.6330829301387e-169
44,1.0,3.266726918643934e-167
45,1.0,1.6088310242260046e-165
46,1.0,7.92333887220339e-164
47,1.0,3.9021703564755266e-162
48,1.0,1.921783306794103e-160
49,1.0,9.464611766243195e-159
50,1.0,4.6612391728483826e-157
51,1.0,2.2956208830859157e-155
52,1.0,1.1305743851140229e-153
53,1.0,5.5679882708468066e-152
54,1.0,2.7421908473348165e-150
55,1.0,1.350508235881619e-148
56,1.0,6.651153818495512e-147
57,1.0,3.275645845215258e-145
58,1.0,1.613232950683554e-143
59,1.0,7.945064387839581e-142
60,1.0,3.9128928187483864e-140
61,1.0,1.9270752611799352e-138
62,1.0,9.490729458251002e-137
63,1.0,4.6741291054471274e-135
64,1.0,2.301982443418453e-133
65,1.0,1.1337139814621184e-131
66,1.0,5.583482898648232e-130
67,1.0,2.7498377516726e-128
68,1.0,1.3542821094706887e-126
69,1.0,6.669778387453374e-125
70,1.0,3.284837258812141e-123
71,1.0,1.6177689772748893e-121
72,1.0,7.967449851072767e-120
73,1.0,3.9239400589790524e-118
74,1.0,1.9325270463716967e-116
75,1.0,9.517633709203875e-115
76,1.0,4.687406116409486e-113
77,1.0,2.3085344898771022e-111
78,1.0,1.1369473177410511e-109
79,1.0,5.599438825678124e-108
80,1.0,2.7577116621702324e-106
81,1.0,1.3581676923685824e-104
82,1.0,6.688952671794542e-103
