,first_group,second_group
0,1.0,3.2939185728029574e-242
1,1.0,1.6223836627658513e-240
2,1.0,7.990870316770181e-239
3,1.0,3.935812614611018e-237
4,1.0,1.9385390608971734e-235
5,1.0,9.548046187868249e-234
6,1.0,4.7027758324264484e-232
7,1.0,2.3162949241244674e-230
8,1.0,1.1408623399473557e-228
9,1.0,5.619173524709695e-227
10,1.0,2.7676518198504424e-225
11,1.0,1.3631707958680448e-223
12,1.0,6.714116968574605e-222
13,1.0,3.306947817889867e-220
14,1.0,1.6287918597973326e-218
15,1.0,8.02238771473135e-217
16,1.0,3.951313722707105e-215
17,1.0,1.9461628876512105e-213
18,1.0,9.585541862453826e-212
19,1.0,4.721216948316046e-210
20,1.0,2.3253645858623294e-208
21,1.0,1.1453229354690477e-206
22,1.0,5.6411112934273194e-205
23,1.0,2.778441036466746e-203
24,1.0,1.3684770154149628e-201
25,1.0,6.740213233660453e-200
26,1.0,3.3197820333818167e-198
27,1.0,1.6351037309421687e-196
28,1.0,8.05342936067261e-195
29,1.0,3.966579860263016e-193
30,1.0,1.953670665417256e-191
31,1.0,9.622464392067182e-190
32,1.0,4.7393750013912446e-188
33,1.0,2.3342944510749327e-186
34,1.0,1.1497144902925115e-184
35,1.0,5.6627080975912555e-183
36,1.0,2.789061866079923e-181
37,1.0,1.3737000771223241e-179
38,1.0,6.765898828591442e-178
39,1.0,3.3324134439871414e-176
40,1.0,1.6413154502232593e-174
41,1.0,8.083976428355633e-173
42,1.0,3.9816017636698853e-171
43,1.0,1.9610578360063437e-169
44,1.0,9.658791348229895e-168
45,1.0,4.757238955877526e-166
46,1.0,2.343079089744442e-164
47,1.0,1.1540343326721673e-162
48,1.0,5.6839507914826355e-161
49,1.0,2.7995078407056373e-159
50,1.0,1.3788367986327202e-157
51,1.0,6.79115809580082e-156
52,1.0,3.344834346083928e-154
53,1.0,1.6474232274505786e-152
54,1.0,8.114010270207624e-151
55,1.0,3.996370258500869e-149
56,1.0,1.96831988573754e-147
57,1.0,9.694500524541849e-146
58,1.0,4.77479788679608e-144
59,1.0,2.3517131271206697e-142
60,1.0,1.1582798184269145e-140
61,1.0,5.704826366838202e-139
62,1.0,2.8097725608939683e-137
63,1.0,1.3838840317545903e-135
64,1.0,6.815975548020367e-134
65,1.0,3.3570371209236207e-132
66,1.0,1.653423314727525e-130
67,1.0,8.14351244938031e-129
68,1.0,4.010876275307606e-127
69,1.0,1.9754523532211916e-125
70,1.0,9.72956997505292e-124
71,1.0,4.7920409988696703e-122
72,1.0,2.3601912530352586e-120
73,1.0,1.1624483355290633e-118
74,1.0,5.7253219754583875e-117
75,1.0,2.8198497068678135e-115
76,1.0,1.388838667949584e-113
77,1.0,6.840335895314174e-112
78,1.0,3.369014247948497e-110
79,1.0,1.6593120130113164e-108
80,1.0,8.17246477206673e-107
81,1.0,4.0251108655395926e-105
82,1.0,1.9824508372006913e-103
83,1.0,9.763978052866524e-102
84,1.0,4.808957645537309e-100
85,1.0,2.3685082312694063e-98
86,1.0,1.1665373087183806e-96
87,1.0,5.745424951933122e-95
88,1.0,2.8297330497156055e-93
89,1.0,1.393697643845058e-91
90,1.0,6.8642240722280625e-90
91,1.0,3.38075831816272e-88
92,1.0,1.6650856786978894e-86
93,1.0,8.200849319930686e-85
94,1.0,4.0390652175138984e-83
95,1.0,1.989311004416737e-81
96,1.0,9.797703448883241e-80
97,1.0,4.82553734803262e-78
98,1.0,2.3766589089447045e-76
99,1.0,1.1705442041261131e-74
100,1.0,5.765122836410447e-73
101,1.0,2.839416462602374e-71
102,1.0,1.3984579467539396e-69
103,1.0,6.887625264966882e-68
104,1.0,3.3922620475131124e-66
105,1.0,1.6707407302098767e-64
106,1.0,8.228648482540568e-63
107,1.0,4.0527306723834304e-61
108,1.0,1.9960285974685384e-59
109,1.0,9.830725230493688e-58
110,1.0,4.841769814432292e-56
111,1.0,2.384638225903781e-54
112,1.0,1.174466533892825e-52
113,1.0,5.78440339732727e-51
114,1.0,2.8488939319587394e-49
115,1.0,1.4031166201833093e-47
116,1.0,6.910524938509636e-46
117,1.0,3.4035182902352197e-44
118,1.0,1.6762736545655045e-42
119,1.0,8.255844989700974e-41
120,1.0,4.0660987400495204e-39
121,1.0,2.002599442645516e-37
122,1.0,9.863022880123834e-36
123,1.0,4.857644958624638e-34
124,1.0,2.39244122404358e-32
125,1.0,1.1783018607614292e-30
126,1.0,5.803254654014488e-29
127,1.0,2.8581595686047966e-27
128,1.0,1.407670769306221e-25
129,1.0,6.932908863533869e-24
130,1.0,3.4145200521021195e-22
131,1.0,1.681681013897605e-20
132,1.0,8.282421943528576e-19
133,1.0,4.0791611149441755e-17
134,0.9999999999999979,2.0090194576921923e-15
135,0.999999999999901,9.894576333437795e-14
136,0.9999999999951269,4.873152919084366e-12
137,0.9999999997599938,2.400063055988146e-10
138,0.9999999881795221,1.1820477886549702e-08
139,0.9999994178338489,5.821661509900732e-07
140,0.9999713287458768,2.86712541232155e-05
141,0.9985898736977423,0.0014101263022575866
142,0.9349747225958878,0.06502527740411226
143,0.22597539720003368,0.7740246027999663
144,0.005892892719850945,0.994107107280149
145,0.00012034617070296605,0.999879653829297
146,2.443840728459655e-06,0.9999975561592716
147,4.962077916255227e-08,0.9999999503792207
148,1.007519518444146e-09,0.9999999989924805
149,2.0457076227856146e-11,0.9999999999795429
150,4.153688126992724e-13,0.9999999999995846
151,8.433822062969447e-15,0.9999999999999916
152,1.7124393952587303e-16,0.9999999999999998
153,3.477012199012604e-18,1.0
154,7.059882066104431e-20,1.0
155,1.4334709834992186e-21,1.0
156,2.910587063014544e-23,1.0
157,5.909796296331096e-25,1.0
158,1.1999541639986808e-26,1.0
159,2.436447353831374e-28,1.0
160,4.947087995939947e-30,1.0
161,1.0044827164842633e-31,1.0
162,2.0395555161554935e-33,1.0
163,4.1412249670682317e-35,1.0
164,8.408573914482173e-37,1.0
165,1.7073246036075993e-38,1.0
166,3.466650680895621e-40,1.0
167,7.038891901134974e-42,1.0
168,1.4292188654021542e-43,1.0
169,2.901973322677672e-45,1.0
170,5.892347108736754e-47,1.0
171,1.1964194391533957e-48,1.0
172,2.429287025045872e-50,1.0
173,4.932583345924393e-52,1.0
174,1.0015445360156451e-53,1.0
175,2.0336037399789662e-55,1.0
176,4.1291687347006106e-57,1.0
177,8.38415234838636e-59,1.0
178,1.7023777133127925e-60,1.0
179,3.456630215302618e-62,1.0
180,7.018594503404639e-64,1.0
181,1.4251074662032485e-65,1.0
182,2.8936454180737778e-67,1.0
183,5.875478524609927e-69,1.0
184,1.1930026490446428e-70,1.0
185,2.422366249952428e-72,1.0
186,4.918565285716825e-74,1.0
187,9.987051931398504e-76,1.0
188,2.0278527252525592e-77,1.0
189,4.1175202932059884e-79,1.0
190,8.360559093791308e-81,1.0
191,1.6975990706250048e-82,1.0
192,3.4469514954539843e-84,1.0
193,6.998991260502119e-86,1.0
194,1.421137063590319e-87,1.0
195,2.885603904796153e-89,1.0
196,5.859191655318149e-91,1.0
197,1.18970401593026e-92,1.0
198,2.4156854729278307e-94,1.0
199,4.90503470357155e-96,1.0
200,9.959648653622473e-98,1.0
201,2.022302826601986e-99,1.0
202,4.106280350872092e-101,1.0
203,8.337795564949796e-103,1.0
204,1.692988957847497e-104,1.0
205,3.4376150846923994e-106,1.0
206,6.980083296238256e-108,1.0
207,1.417307881678947e-109,1.0
208,2.877849229635916e-111,1.0
209,5.843487391262298e-113,1.0
210,1.1865237171916648e-114,1.0
211,2.4092450472093776e-116,1.0
212,4.891992302649208e-118,1.0
213,9.933236925981128e-120,1.0
214,2.016954322312987e-121,1.0
215,4.0954494609524364e-123,1.0
216,8.315862861259498e-125,1.0
217,1.688547593342524e-126,1.0
218,3.4286214165099476e-128,1.0
219,6.9618714707257124e-130,1.0
220,1.4136200910341085e-131,1.0
221,2.8703817306364113e-133,1.0
222,5.828366402003666e-135,1.0
223,1.1834618853639227e-136,1.0
224,2.4030452349648763e-138,1.0
225,4.879438601177411e-140,1.0
226,9.907817772088374e-142,1.0
227,2.0118074144122023e-143,1.0
228,4.0850280218456404e-145,1.0
229,8.294761767673866e-147,1.0
230,1.6842751316208514e-148,1.0
231,3.4199707947419433e-150,1.0
232,6.944356380798861e-152,1.0
233,1.4100738087601752e-153,1.0
234,2.8632016372863535e-155,1.0
235,5.8138291366799107e-157,1.0
236,1.180518608224675e-158,1.0
237,2.397086207481717e-160,1.0
238,4.867373932848833e-162,1.0
239,9.883391840864928e-164,1.0
240,2.006862228846303e-165,1.0
241,4.075016277474091e-167,1.0
242,8.274492755487924e-169,1.0
243,1.6801716635076248e-170,1.0
244,3.411663393916537e-172,1.0
245,6.927538360748552e-174,1.0
246,1.4066690986557832e-175,1.0
247,2.856309070844993e-177,1.0
248,5.799875824686236e-179,1.0
249,1.1776939289367319e-180,1.0
250,2.3913680454656174e-182,1.0
251,4.855798447453544e-184,1.0
252,9.859959407857931e-186,1.0
253,2.002118815757361e-187,1.0
254,4.065414317858204e-189,1.0
255,8.2550559835418e-191,1.0
256,1.676237216392856e-192,1.0
257,3.403699259775876e-194,1.0
258,6.91141748340661e-196,1.0
259,1.4034059714380957e-197,1.0
260,2.8497040448081786e-199,1.0
261,5.7865064766433434e-201,1.0
262,1.1749878462489745e-202,1.0
263,2.3858907394572536e-204,1.0
264,4.844712111735346e-206,1.0
265,9.837520377016936e-208,1.0
266,1.997577149850955e-209,1.0
267,4.056222079879504e-211,1.0
268,8.236451299799162e-213,1.0
269,1.6724717545583367e-214,1.0
270,3.3960783099525354e-216,1.0
271,6.895993561544442e-218,1.0
272,1.4002843850341948e-219,1.0
273,2.8433864655103825e-221,1.0
274,5.77372088564089e-223,1.0
275,1.1724003147532884e-224,1.0
276,2.380654190362731e-226,1.0
277,4.834114710490568e-228,1.0
278,9.816074282961538e-230,1.0
279,1.9932371308638287e-231,1.0
280,4.047439348242305e-233,1.0
281,8.218678243330244e-235,1.0
282,1.6688751795861944e-236,1.0
283,3.388800334811751e-238,1.0
284,6.881266149608939e-240,1.0
285,1.3973042449365147e-241,1.0
286,2.837356132856955e-243,1.0
287,5.7615186287471396e-245,1.0
288,1.1699312451954556e-246,1.0
289,2.3756582100938868e-248,1.0
290,4.8240058478849956e-250,1.0
291,9.795620293690278e-252,1.0
292,1.989098584121532e-253,1.0
293,4.039065756626746e-255,1.0
294,8.20173604668293e-257,1.0
295,1.665447330846777e-258,1.0
296,3.381864998454026e-260,1.0
297,6.8672345457832e-262,1.0
298,1.3944654046274229e-263,1.0
299,2.83161274119652e-265,1.0
300,5.749899068798437e-267,1.0
301,1.1675805048419127e-268,1.0
302,2.370902522321133e-270,1.0
303,4.8143849490002804e-272,1.0
304,9.776157213757151e-274,1.0
305,1.9851612611902623e-275,1.0
306,4.031100789020477e-277,1.0
307,8.185623638617532e-279,1.0
308,1.6621879860594737e-280,1.0
309,3.375271839866543e-282,1.0
310,6.853897794350111e-284,1.0
311,1.3917676660639133e-285,1.0
312,2.826155880315375e-287,1.0
313,5.738861356441038e-289,1.0
314,1.1653479179003246e-290,1.0
315,2.366386763336154e-292,1.0
