,first_group,second_group
0,1.0,5.871095850556971e-242
1,1.0,2.8918192615090514e-240
2,1.0,1.4243709627685304e-238
3,1.0,7.015765534940624e-237
4,1.0,3.4556282100914115e-235
5,1.0,1.702075982218574e-233
6,1.0,8.383606088994279e-232
7,1.0,4.129360251855025e-230
8,1.0,2.0339237564061173e-228
9,1.0,1.0018127430475803e-226
10,1.0,4.934446226642043e-225
11,1.0,2.430470059330352e-223
12,1.0,1.1971322088029638e-221
13,1.0,5.896495083706052e-220
14,1.0,2.904328592284909e-218
15,1.0,1.430531890770486e-216
16,1.0,7.046108413198515e-215
17,1.0,3.470572180475109e-213
18,1.0,1.7094359142366385e-211
19,1.0,8.419853766665412e-210
20,1.0,4.147212180814855e-208
21,1.0,2.0427157768540287e-206
22,1.0,1.0061427720420046e-204
23,1.0,4.95577134712176e-203
24,1.0,2.4409725125334367e-201
25,1.0,1.2023045669382075e-199
26,1.0,5.9219683708093126e-198
27,1.0,2.916873860802609e-196
28,1.0,1.4367102548820655e-194
29,1.0,7.076535866348994e-193
30,1.0,3.4855571639970534e-191
31,1.0,1.7168157296566032e-189
32,1.0,8.45619781410624e-188
33,1.0,4.165110804678856e-186
34,1.0,2.0515304162599293e-184
35,1.0,1.0104837543577327e-182
36,1.0,4.977149493086451e-181
37,1.0,2.451500627368595e-179
38,1.0,1.2074893398712253e-177
39,1.0,5.9475016985726895e-176
40,1.0,2.929448155913206e-174
41,1.0,1.4429026466623085e-172
42,1.0,7.107031084813642e-171
43,1.0,3.5005748706792754e-169
44,1.0,1.724211340153829e-167
45,1.0,8.492618069345758e-166
46,1.0,4.183046180477018e-164
47,1.0,2.06036277125223e-162
48,1.0,1.0148332719238756e-160
49,1.0,4.998568740074102e-159
50,1.0,2.462048523473246e-157
51,1.0,1.2126836278226858e-155
52,1.0,5.973080767479066e-154
53,1.0,2.942044426249009e-152
54,1.0,1.449105588981331e-150
55,1.0,7.137576922544672e-149
56,1.0,3.515616845733775e-147
57,1.0,1.731618576678324e-145
58,1.0,8.529093975042573e-144
59,1.0,4.2010081716076345e-142
60,1.0,2.0692078436335855e-140
61,1.0,1.019188860233735e-138
62,1.0,5.020016936240189e-137
63,1.0,2.4726102091481762e-135
64,1.0,1.2178844765007643e-133
65,1.0,5.998691011122966e-132
66,1.0,2.954655489783653e-130
67,1.0,1.4553155407471586e-128
68,1.0,7.1681559203947e-127
69,1.0,3.530674481116677e-125
70,1.0,1.7390331951710634e-123
71,1.0,8.565604606744643e-122
72,1.0,4.2189864618074656e-120
73,1.0,2.0780605472870526e-118
74,1.0,1.0235480117586984e-116
75,1.0,5.041481719233443e-115
76,1.0,2.483179589699559e-113
77,1.0,1.2230888812245847e-111
78,1.0,6.024317616592497e-110
79,1.0,2.9672740439060745e-108
80,1.0,1.4615289018848339e-106
81,1.0,7.198750330725677e-105
82,1.0,3.545739027690787e-103
83,1.0,1.7464508825708255e-101
84,1.0,8.602128702575681e-100
85,1.0,4.236970569825429e-98
86,1.0,2.086915715427554e-96
87,1.0,1.0279081795317317e-94
88,1.0,5.062950533903683e-93
89,1.0,2.493750476188985e-91
90,1.0,1.2282937912480487e-89
91,1.0,6.049945545833676e-88
92,1.0,2.9798926759767735e-86
93,1.0,1.4677420185521774e-84
94,1.0,7.229342143179218e-83
95,1.0,3.560801607957848e-81
96,1.0,1.7538672631076568e-79
97,1.0,8.638644694327505e-78
98,1.0,4.2549498647768456e-76
99,1.0,2.0957681081872013e-74
100,1.0,1.0322667808945732e-72
101,1.0,5.084410650812962e-71
102,1.0,2.5043165945773903e-69
103,1.0,1.2334961142765663e-67
104,1.0,6.075559557961723e-66
105,1.0,2.9925038743486017e-64
106,1.0,1.4739511885834345e-62
107,1.0,7.259913111564036e-61
108,1.0,3.5758532293386435e-59
109,1.0,1.761277904860656e-57
110,1.0,8.67513073984885e-56
111,1.0,4.272913582146405e-54
112,1.0,2.104612420518646e-52
113,1.0,1.036621201400794e-50
114,1.0,5.105849185510784e-49
115,1.0,2.5148715952458577e-47
116,1.0,1.2386927211687468e-45
117,1.0,6.101144232478597e-44
118,1.0,3.0051000398316395e-42
119,1.0,1.4801526671504965e-40
120,1.0,7.290444781810173e-39
121,1.0,3.590884797976199e-37
122,1.0,1.7686783265736672e-35
123,1.0,8.711564756696521e-34
124,1.0,4.290850840399625e-32
125,1.0,2.113443290396682e-30
126,1.0,1.0409687988655043e-28
127,1.0,5.1272531185277534e-27
128,1.0,2.525409062862536e-25
129,1.0,1.2438804508075233e-23
130,1.0,6.126683993320602e-22
131,1.0,3.0176734975645494e-20
132,1.0,1.4863426726233282e-18
133,1.0,7.320918520898682e-17
134,0.9999999999999963,3.605887133015868e-15
135,0.9999999999998224,1.7760640047040428e-13
136,0.9999999999912521,8.747924456858202e-12
137,0.9999999995691249,4.308750656304029e-10
138,0.9999999787774474,2.122255262257371e-08
139,0.9999989546941851,1.0453058148841106e-06
140,0.999948516557521,5.148344247895858e-05
141,0.9974704921094615,0.0025295078905385464
142,0.8889634737040293,0.11103652629597073
143,0.13981783990477487,0.8601821600952251
144,0.0032892394240670738,0.9967107605759329
145,6.699640543816512e-05,0.9999330035945619
146,1.3602988925535321e-06,0.9999986397011074
147,2.7617816296098476e-08,0.9999999723821837
148,5.607171495245472e-10,0.9999999994392829
149,1.1384092305710122e-11,0.999999999988616
150,2.31128263355585e-13,0.9999999999997689
151,4.692537833245485e-15,0.9999999999999952
152,9.52714091573079e-17,0.9999999999999999
153,1.934271687454548e-18,1.0
154,3.927104349931353e-20,1.0
155,7.9731050943386885e-22,1.0
156,1.6187605695100907e-23,1.0
157,3.2865317130465357e-25,1.0
158,6.67256971014898e-27,1.0
159,1.3547167315611354e-28,1.0
160,2.7504512555468738e-30,1.0
161,5.5841810964409e-32,1.0
162,1.1337443076440062e-33,1.0
163,2.3018171915275523e-35,1.0
164,4.673331881150257e-37,1.0
165,9.488171015224892e-39,1.0
166,1.9263645139912034e-40,1.0
167,3.9110603833731365e-42,1.0
168,7.940551365499751e-44,1.0
169,1.6121553349281928e-45,1.0
170,3.2731295696544883e-47,1.0
171,6.645376606164528e-49,1.0
172,1.3491992382593405e-50,1.0
173,2.739256274751607e-52,1.0
174,5.56146658514723e-54,1.0
175,1.1291355704169393e-55,1.0
176,2.2924661712039757e-57,1.0
177,4.654358944435552e-59,1.0
178,9.449675634637652e-61,1.0
179,1.91855397187364e-62,1.0
180,3.895213194283172e-64,1.0
181,7.90839834326797e-66,1.0
