,first_group,second_group
0,1.0,1.9236872642685015e-242
1,1.0,9.477980512884799e-241
2,1.0,4.6697840061884425e-239
3,1.0,2.30079229390837e-237
4,1.0,1.1335943484814624e-235
5,1.0,5.585185035872165e-234
6,1.0,2.751801440521615e-232
7,1.0,1.35580195016868e-230
8,1.0,6.679978213348682e-229
9,1.0,3.2911938852881006e-227
10,1.0,1.6215543779084554e-225
11,1.0,7.989308535663836e-224
12,1.0,3.936284632371008e-222
13,1.0,1.9393822644203397e-220
14,1.0,9.555204072254457e-219
15,1.0,4.70777972850344e-217
16,1.0,2.3194868854960628e-215
17,1.0,1.1427923533058494e-213
18,1.0,5.630440148132348e-212
19,1.0,2.774067225458643e-210
20,1.0,1.3667567566682735e-208
21,1.0,6.733875603568316e-207
22,1.0,3.31771104930112e-205
23,1.0,1.6346005382787463e-203
24,1.0,8.053493697102464e-202
25,1.0,3.9678625027214014e-200
26,1.0,1.954917838217002e-198
27,1.0,9.631634802305652e-197
28,1.0,4.745381209721296e-195
29,1.0,2.3379854539599747e-193
30,1.0,1.1518929003470294e-191
31,1.0,5.675210764452653e-190
32,1.0,2.7960921703464484e-188
33,1.0,1.3775918525220113e-186
34,1.0,6.787178013091162e-185
35,1.0,3.3439325213416846e-183
36,1.0,1.6474997575592e-181
37,1.0,8.116948704425006e-180
38,1.0,3.9990775842801217e-178
39,1.0,1.9702731676487626e-176
40,1.0,9.707170088209454e-175
41,1.0,4.7825378705065484e-173
42,1.0,2.356263068961749e-171
43,1.0,1.1608837017729766e-169
44,1.0,5.719436320859075e-168
45,1.0,2.81784642510599e-166
46,1.0,1.3882925258357341e-164
47,1.0,6.839812934294534e-163
48,1.0,3.3698225666646558e-161
49,1.0,1.6602344245217605e-159
50,1.0,8.17958676547035e-158
51,1.0,4.029887104683654e-156
52,1.0,1.985427174304392e-154
53,1.0,9.78170605656551e-153
54,1.0,4.819198523508113e-151
55,1.0,2.374294506570152e-149
56,1.0,1.1697523280543567e-147
57,1.0,5.763055569848517e-146
58,1.0,2.8392998101136534e-144
59,1.0,1.3988439059242907e-142
60,1.0,6.891707094874753e-141
61,1.0,3.395345082510426e-139
62,1.0,1.672786750941228e-137
63,1.0,8.24132023739034e-136
64,1.0,4.0602478830044115e-134
65,1.0,2.0003585836990964e-132
66,1.0,9.855137893755511e-131
67,1.0,4.855311530902245e-129
68,1.0,2.3920543272202093e-127
69,1.0,1.1784862465403617e-125
70,1.0,5.806006771273958e-124
71,1.0,2.8604219106462976e-122
72,1.0,1.409231010038063e-120
73,1.0,6.942786689015994e-119
74,1.0,3.42046371246497e-117
75,1.0,1.6851388281670113e-115
76,1.0,8.302060906486875e-114
77,1.0,4.0901164681686164e-112
78,1.0,2.0150459937376735e-110
79,1.0,9.927360184555013e-109
80,1.0,4.890824971858731e-107
81,1.0,2.409516958532759e-105
82,1.0,1.187072862414799e-103
83,1.0,5.848227894858715e-102
84,1.0,2.881182177019998e-100
85,1.0,1.4194387928782294e-98
86,1.0,6.992977622209893e-97
87,1.0,3.445141967501304e-95
88,1.0,1.697272686964652e-93
89,1.0,8.361720284048321e-92
90,1.0,4.119449285201417e-90
91,1.0,2.0294679470068478e-88
92,1.0,9.998267269474847e-87
93,1.0,4.9256868191675426e-85
94,1.0,2.4266567826133866e-83
95,1.0,1.1954995618423154e-81
96,1.0,5.889656833441473e-80
97,1.0,2.9015500299738724e-78
98,1.0,1.429452198672034e-76
99,1.0,7.042205768585214e-75
100,1.0,3.4693433531333434e-73
101,1.0,1.7091703603433137e-71
102,1.0,8.420209916769206e-70
103,1.0,4.1482027885939355e-68
104,1.0,2.0436030065449995e-66
105,1.0,1.0067753619079509e-64
106,1.0,4.959845124151637e-63
107,1.0,2.4434482273954484e-61
108,1.0,1.2037537570879565e-59
109,1.0,5.9302316258327746e-58
