,first_group,second_group,third_group,fourth_group
0,0.9998439280104314,0.00015607198956850543,0.0,1.0544468414177053e-26
1,0.9998186339609612,0.0001813660390387629,0.0,1.42133115001528e-26
2,0.9997620910902303,0.00023790890976969054,0.0,2.1628633548402296e-26
3,0.9996477304992956,0.0003522695007044695,0.0,3.7154548991167397e-26
4,0.9994112693057581,0.0005887306942419079,0.0,7.204630714109183e-26
5,0.9988896535482791,0.0011103464517208553,0.0,1.576707708136555e-25
6,0.9976378983004112,0.0023621016995888982,0.0,3.8924986081803123e-25
7,0.9943395489122355,0.005660451087764449,0.0,1.082574223563587e-24
8,0.9847860259824026,0.015213974017597285,0.0,3.377269117003202e-24
9,0.9548160476437847,0.04518395235621523,0.0,1.164295404958404e-23
10,0.8593998768305346,0.1406001231694654,0.0,4.2059127866680436e-23
11,0.6103702891892137,0.38962971081078634,0.0,1.353199625595976e-22
12,0.26240476053881123,0.7375952394611888,0.0,2.9744235602737406e-22
13,0.0668102024073161,0.933189797592684,0.0,4.369877633431457e-22
14,0.012607214230668403,0.9873927857693315,0.0,5.3696197247533165e-22
15,0.0020141037571099756,0.99798589624289,0.0,6.30335822637763e-22
16,0.0002826666500339088,0.9997173333499662,0.0,7.334297964260115e-22
17,3.511392149407113e-05,0.999964886078506,0.0,8.521961649552003e-22
18,3.866339084261601e-06,0.9999961336609158,0.0,9.900711799124e-22
19,3.7746678653154684e-07,0.9999996225332135,0.0,1.150326168966587e-21
20,3.2681068990815257e-08,0.9999999673189309,0.0,1.3366386890285973e-21
21,2.5097737066918192e-09,0.9999999974902263,0.0,1.5532692705909377e-21
22,1.7099671143355925e-10,0.9999999998290033,0.0,1.8051750061062677e-21
23,1.0338686059992149e-11,0.9999999999896614,0.0,2.0981268539417976e-21
24,5.548752335413049e-13,0.9999999999994451,0.0,2.438844228865941e-21
25,2.644403765462321e-14,0.9999999999999735,0.0,2.835151635618888e-21
26,1.1195379953717156e-15,0.9999999999999989,0.0,3.2961612536021333e-21
27,4.2124598832579665e-17,1.0,0.0,3.832485822825581e-21
28,1.4094910616718787e-18,1.0,0.0,4.456486885591473e-21
29,4.1966697272883315e-20,1.0,0.0,5.182564282557291e-21
30,1.1127521171991594e-21,1.0,0.0,6.027493790115784e-21
31,2.629866115186256e-23,1.0,0.0,7.010820940867537e-21
32,5.545762010264062e-25,1.0,0.0,8.155320418329689e-21
33,1.0447094977082375e-26,1.0,0.0,9.487531993815103e-21
34,1.7604103168931458e-28,1.0,0.0,1.1038385816140715e-20
35,2.6573602236141362e-30,1.0,0.0,1.2843932018512839e-20
36,3.5990033909211e-32,1.0,0.0,1.4946192124317782e-20
37,4.3803284555776965e-34,1.0,0.0,1.7394152676293645e-20
38,4.798537567593903e-36,1.0,0.0,2.024492495387045e-20
39,4.738295713554011e-38,1.0,0.0,2.3565098665843185e-20
40,4.222644097463346e-40,1.0,0.0,2.743232220889612e-20
41,3.3993703297307e-42,1.0,0.0,3.193714758262796e-20
42,2.4734416174760213e-44,1.0,0.0,3.7185184484206725e-20
43,1.6268712026385145e-46,1.0,0.0,4.329961562935667e-20
44,9.67029687294928e-49,1.0,0.0,5.042413414693544e-20
45,5.1915822346504094e-51,1.0,0.0,5.872637418960069e-20
46,2.5151191425718733e-53,1.0,0.0,6.84019179479594e-20
47,1.098425426067383e-55,1.0,0.0,7.96789763488136e-20
48,4.319748171545982e-58,1.0,0.0,9.282385720951255e-20
49,1.5280807385190673e-60,1.0,0.0,1.081473539198973e-19
50,4.857180701221915e-63,1.0,0.0,1.2601221031111234e-19
51,1.3860012167288095e-65,1.0,0.0,1.4684184380941142e-19
52,3.547517127048526e-68,1.0,0.0,1.7113053992246802e-19
53,8.138749239123356e-71,1.0,0.0,1.9945536733850058e-19
54,1.6726391738096273e-73,1.0,0.0,2.324901053406553e-19
55,3.0778070449799417e-76,1.0,0.0,2.7102152491245517e-19
56,5.068699879841901e-79,1.0,0.0,3.1596842307965024e-19
57,7.46830527347356e-82,1.0,0.0,3.684038781590234e-19
58,9.842362129434334e-85,1.0,0.0,4.2958127337711005e-19
59,1.1599313607950184e-87,1.0,0.0,5.009647297880276e-19
60,1.2222019122307775e-90,1.0,0.0,5.842646989137533e-19
61,1.151245676645464e-93,1.0,0.0,6.814795938120391e-19
62,9.692946523799501e-97,1.0,0.0,7.949444875853645e-19
63,7.293971487003252e-100,1.0,0.0,9.273880844769048e-19
64,4.905212736833764e-103,1.0,0.0,1.0819993751130269e-18
65,2.9478688896286676e-106,1.0,0.0,1.262505629375183e-18
66,1.5830355850030149e-109,1.0,0.0,1.4732636639522988e-18
67,7.595996845061112e-113,1.0,0.0,1.7193666540390665e-18
68,3.256662937902652e-116,1.0,0.0,2.0067691483556533e-18
69,1.2474970001496435e-119,1.0,0.0,2.3424334035900468e-18
70,4.269445724066928e-123,1.0,0.0,2.7345006901488905e-18
71,1.3054400488170031e-126,1.0,0.0,3.1924918494159918e-18
72,3.566031836011187e-130,1.0,0.0,3.727542119609064e-18
73,8.702554677103115e-134,1.0,0.0,4.352676111640245e-18
74,1.8972860161159768e-137,1.0,0.0,5.083129830254165e-18
75,3.6951772527089484e-141,1.0,0.0,5.936727825131926e-18
76,6.429047934947957e-145,1.0,0.0,6.934324952133988e-18
77,9.992172926567748e-149,1.0,0.0,8.10032386227306e-18
78,1.3872939268056623e-152,1.0,0.0,9.46328125748272e-18
79,1.720544933272454e-156,1.0,0.0,1.1056618207274438e-17
80,1.906103896504515e-160,1.0,0.0,1.2919452467108568e-17
81,1.886272470455927e-164,1.0,0.0,1.5097573846082374e-17
82,1.6673781955311996e-168,1.0,0.0,1.7644587318673528e-17
83,1.316528860601042e-172,1.0,0.0,2.06232528571634e-17
84,9.285133677750041e-177,1.0,0.0,2.4107055988959066e-17
85,5.84928206976578e-181,1.0,0.0,2.818204898676817e-17
86,3.291310719422661e-185,1.0,0.0,3.294900953281077e-17
87,1.6541792492444607e-189,1.0,0.0,3.8525971841278364e-17
88,7.425731181515104e-194,1.0,0.0,4.505119478810118e-17
89,2.9773823193129754e-198,1.0,0.0,5.2686642833100585e-17
90,1.066263684085844e-202,1.0,0.0,6.162206872004452e-17
